X,Y,Z,lon,lat,ave_ppt_mm
-89.446,30.447,0,-89.445999999999998,30.446999999999999,0.235000000000000
-89.435,30.48,0,-89.435000000000002,30.480000000000000,0.172083333333333
-89.424,30.514,0,-89.424000000000007,30.513999999999999,0.172500000000000
-89.413,30.547,0,-89.412999999999997,30.547000000000001,0.151250000000000
-89.403,30.58,0,-89.403000000000006,30.579999999999998,0.172083333333333
-89.392,30.614,0,-89.391999999999996,30.614000000000001,0.156250000000000
-89.381,30.647,0,-89.381000000000000,30.646999999999998,0.162083333333333
-89.37,30.68,0,-89.370000000000005,30.680000000000000,0.156666666666667
-89.359,30.714,0,-89.358999999999995,30.713999999999999,0.177500000000000
-89.348,30.747,0,-89.347999999999999,30.747000000000000,0.161666666666667
-89.338,30.781,0,-89.337999999999994,30.780999999999999,0.141250000000000
